StatementID,MySQL/INSERT,MySQL/UPDATE,MSSQL/INSERT,MSSQL/UPDATE,PostgreSQL/INSERT,PostgreSQL/UPDATE
1,12.37273216,17.01545715,29.23560143,70.81365585,0.996112823,1.031160355
2,2.008914948,1.074075699,0.871658325,5.514383316,0,0
3,0,0,0,4.029989243,0,0
4,1.00851059,1.942634583,0,1.526594162,1.010417938,1.096010208
5,1.086711884,0.517129898,1.347780228,1.006603241,0,0
6,0.985860825,1.072883606,1.040697098,1.443386078,0.506877899,1.014947891
7,2.008199692,1.078367233,1.994132996,0.546455383,1.008272171,0
8,0,2.087831497,2.155303955,0,0.535488129,0.460863113
9,0,1.153469086,1.272201538,1.007795334,0,1.059055328
10,2.016067505,1.744270325,2.484560013,1.05714798,0,0.583410263
11,1.059770584,0,2.012252808,1.507997513,1.008749008,1.073360443
12,0.665426254,1.066684723,2.271413803,1.543521881,0,0.503778458
13,0.371694565,1.081466675,1.131296158,1.090049744,0,0
14,2.008676529,1.071691513,10.79392433,0,0,1.070022583
15,2.015352249,1.181602478,1.036882401,1.081228256,0.548362732,1.030683517
16,114.8905754,0,0,1.048088074,0,1.480102539
17,1.044034958,1.018047333,2.02703476,1.06883049,1.277685165,1.533985138
18,1.057386398,1.121997833,2.050161362,1.351833344,1.070976257,1.064062119
19,1.05714798,1.063108444,2.096414566,1.006603241,1.01184845,1.06048584
20,0,1.010656357,0,0,1.011371613,0.571250916
21,1.086473465,1.082897186,2.018928528,1.071214676,0,1.057863235
22,1.054048538,1.028060913,0.857591629,0,0,2.018213272
23,1.019239426,1.070976257,2.024888992,2.020120621,0,1.054525375
24,2.008676529,1.065731049,2.071142197,1.062393188,1.005172729,1.074314117
25,1.07884407,0.295162201,0,1.513004303,2.018451691,1.057863235
26,2.014398575,2.026081085,0,1.082658768,1.016616821,0.569820404
27,2.067089081,0,1.113176346,1.067638397,1.079082489,1.068115234
28,1.056194305,1.078605652,2.103805542,0,0,0
29,2.01177597,18.74399185,0,1.05047226,0,0
30,1.027107239,1.101255417,3.034353256,2.051115036,1.057624817,0
31,2.017259598,13.04197311,1.091718674,0.528812408,0,0
32,2.051591873,1.021146774,2.043962479,0.553369522,0,1.011133194
33,2.051353455,27.5683403,0,1.111268997,0.510454178,1.068115234
34,1.060724258,0,17.22240448,1.502513885,0,1.090526581
35,2.008676529,1.516342163,2.010583878,0,1.014471054,1.092195511
